00.00,51,66
00.01,43,53
00.02,20,53
00.02,7,35
00.03,7,41
00.04,16,37
00.05,29,51
00.06,37,51
00.07,38,44
00.08,20,61
00.09,11,40
00.10,26,51
00.11,35,51
00.12,47,57
00.13,54,67
00.14,44,61
00.15,30,50
00.16,54,29
00.17,80,27
00.18,90,24
00.19,77,26
00.20,56,37
00.21,43,41
00.22,30,41
00.23,44,47
00.24,61,38
00.25,54,20
00.26,50,8
00.27,74,14
00.28,77,21
00.29,88,38
00.30,100,47
00.31,78,40
00.32,47,43
00.33,29,29
00.34,26,41
00.35,24,41
00.36,47,44
00.37,69,43
00.38,78,44
00.39,80,50
00.40,64,47
00.41,41,56
00.42,47,44
00.43,48,47
00.44,35,26
00.45,29,21
00.46,13,37
00.47,1,38
00.48,24,40
00.50,50,4
00.51,75,1
00.52,84,4
00.54,77,38
00.55,77,48
00.56,57,40
00.57,63,43
00.58,69,38
00.59,63,41
01.00,66,44
01.01,63,47
01.02,47,53
01.03,50,40
01.04,54,44
01.05,53,38
01.06,57,38
01.07,54,40
01.08,50,37
01.09,51,38
01.10,44,24
01.11,40,29
01.12,50,47
01.13,53,48
01.14,63,54
01.15,54,53
01.16,51,43
01.17,38,40
01.18,29,38
01.19,40,50
01.20,37,67
01.21,47,81
01.22,56,80
01.23,57,70
01.24,48,48
01.25,38,30
01.26,38,21
01.27,34,4
01.28,30,1
01.29,30,1
01.30,43,7
01.31,54,16
01.32,54,13
01.33,63,21
01.34,47,27
01.35,20,26
01.36,26,37
01.38,20,44
01.40,40,50
01.41,40,50
01.42,35,30
01.44,41,34
01.46,67,38
01.48,69,24
01.49,57,17
01.50,67,26
01.51,70,34
01.52,63,38
01.53,61,50
01.54,54,44
01.55,70,48
01.56,77,63
01.57,87,70
01.58,81,80
01.59,60,80
02.00,70,67
02.01,51,56
02.02,51,38
02.03,66,38
02.04,66,38
02.06,83,30
02.07,80,34
02.08,74,34
02.09,87,41
02.10,83,50
02.11,66,34
02.12,66,29
02.13,53,21
02.14,43,10
02.16,53,16
02.17,44,14
02.18,44,26
02.19,44,26
02.20,44,26
02.21,51,40
02.23,69,40
02.24,67,40
02.25,67,29
02.26,61,37
02.27,43,13
02.28,47,27
02.29,41,35
02.30,35,21
02.31,34,50
02.32,30,47
02.33,34,41
02.34,61,66
02.35,77,51
02.36,78,38
02.38,51,26
02.39,43,34
02.40,51,41
02.41,69,37
02.42,81,53
02.43,81,53
02.44,74,54
02.45,56,51
02.46,50,48
02.47,50,60
02.48,34,54
02.49,29,60
02.50,23,66
02.51,26,61
02.52,43,67
02.53,50,54
02.54,64,44
02.55,54,27
02.56,43,14
02.57,35,20
02.58,24,30
02.59,24,41
03.00,26,56
03.01,26,57
03.02,29,56
03.03,34,53
03.05,50,53
03.06,51,44
03.07,54,41
03.08,56,50
03.10,41,48
03.11,27,53
03.12,29,50
03.13,20,47
03.14,10,61
03.15,34,66
03.16,43,69
03.17,50,67
03.18,69,74
03.20,84,80
03.22,91,69
03.23,69,69
03.24,50,57
03.25,26,54
03.27,38,56
03.28,48,57
03.29,67,51
03.30,77,48
03.31,83,56
03.32,69,53
03.33,60,61
03.34,63,66
03.35,64,51
03.37,84,48
03.38,84,41
03.39,78,48
03.41,51,47
03.42,43,60
03.43,40,64
03.44,24,56
03.45,30,57
03.46,21,41
03.47,17,30
03.48,41,37
03.49,51,38
03.50,60,44
03.51,60,48
03.52,53,53
03.53,48,54
03.55,54,53
03.56,63,67
03.57,41,56
03.59,53,60
04.00,38,47
04.01,63,56
04.02,47,53
04.03,38,47
04.04,43,27
04.05,30,23
04.06,40,29
04.07,38,30
04.08,40,44
04.09,47,35
04.10,35,34
04.11,40,27
04.12,37,24
04.13,34,41
04.14,43,40
04.15,35,43
04.16,44,48
04.17,37,41
04.18,30,30
04.19,63,41
04.20,75,43
04.21,80,47
04.23,80,61
04.24,69,75
04.25,91,78
04.27,69,63
04.28,64,54
04.29,38,48
04.29,38,48
