COUNTER,AF3,F7,F3, FC5, T7, P7, O1, O2,P8, T8, FC6, F4,F8, AF4,GYROX, GYROY, TIMESTAMP, FUNC_ID, FUNC_VALUE, MARKER, SYNC_SIGNAL,
120,4048.72,4173.85,4067.18,3836.41,4362.56,4153.85,4536.92,4507.69,4258.46,3889.23,4204.1,4587.69,4373.33,4582.56,1692,1706,0.097,0,0,0,0,
121,4049.74,4166.67,4067.69,3835.38,4366.67,4144.1,4540,4511.79,4260,3889.23,4205.13,4588.72,4372.82,4593.33,1691,1707,0.105,0,0,0,0,
122,4063.59,4176.41,4076.92,3844.1,4340.51,4143.59,4551.79,4531.28,4283.59,3905.64,4225.13,4603.59,4385.64,4603.08,1693,1706,0.113,0,0,0,0,
123,4066.15,4185.64,4077.44,3842.05,4338.46,4153.33,4556.41,4536.92,4288.72,3916.92,4236.41,4609.74,4393.85,4604.62,1692,1707,0.121,0,0,0,0,
124,4060.51,4177.44,4073.33,3837.44,4374.36,4155.38,4551.28,4522.56,4269.23,3911.28,4228.21,4600.51,4393.33,4599.49,1693,1708,0.128,0,0,0,0,
125,4057.95,4170.26,4071.28,3843.08,4380.51,4146.67,4548.72,4522.05,4268.21,3907.69,4220,4598.97,4390.77,4591.28,1692,1708,0.136,0,0,0,0,
126,4056.41,4175.38,4068.21,3847.69,4362.56,4150.26,4553.85,4533.85,4282.05,3913.33,4218.97,4600,4389.74,4588.72,1693,1709,0.144,0,0,0,0,
127,4050.26,4172.31,4063.08,3842.05,4362.56,4154.87,4553.33,4531.28,4275.9,3909.23,4213.33,4589.74,4384.1,4582.56,1692,1708,0.152,0,0,0,0,
128,4038.46,4164.62,4054.36,3835.9,4366.67,4138.97,4542.56,4516.41,4258.97,3895.38,4201.54,4573.85,4372.82,4567.18,1692,1709,0.16,0,0,0,0,
0,4034.36,4166.15,4050.77,3829.23,4354.36,4135.38,4536.92,4512.31,4256.41,3889.74,4196.41,4570.77,4370.26,4569.74,1692,1708,0.167,0,0,0,0,
1,4048.21,4167.69,4056.92,3828.72,4352.82,4152.31,4540,4518.97,4264.62,3894.87,4207.18,4580.51,4378.46,4586.15,1692,1709,0.175,0,0,0,0,
2,4061.03,4169.23,4065.64,3842.05,4371.28,4155.9,4544.1,4526.15,4272.31,3900.51,4217.95,4590.26,4384.1,4587.69,1692,1708,0.183,0,0,0,0,
3,4057.95,4174.87,4070.77,3846.67,4376.92,4148.21,4548.72,4536.92,4278.97,3905.64,4221.03,4599.49,4387.18,4587.69,1691,1711,0.191,0,0,0,0,
4,4051.28,4168.72,4074.87,3836.41,4364.62,4149.74,4554.36,4544.1,4282.56,3913.85,4216.41,4603.59,4385.64,4590.77,1693,1709,0.199,0,0,0,0,
5,4048.21,4153.33,4070.26,3830.77,4358.97,4152.82,4555.9,4540.51,4278.46,3909.23,4207.18,4595.38,4375.9,4577.95,1691,1709,0.207,0,0,0,0,
6,4044.1,4147.18,4056.92,3831.79,4366.15,4152.82,4554.87,4535.38,4269.23,3895.9,4201.03,4580,4367.18,4567.69,1693,1709,0.214,0,0,0,0,
7,4038.97,4150.77,4049.23,3826.15,4365.13,4154.36,4554.36,4528.21,4261.54,3890.26,4198.97,4573.33,4365.64,4569.23,1692,1709,0.222,0,0,0,0,
8,4036.92,4152.31,4054.36,3825.13,4351.79,4147.18,4553.33,4521.03,4259.49,3895.9,4205.64,4580.51,4373.85,4573.33,1692,1709,0.23,0,0,0,0,
9,4046.67,4156.41,4064.62,3833.85,4350.26,4147.18,4556.92,4522.56,4264.1,3908.21,4217.95,4590.77,4386.15,4584.62,1693,1709,0.238,0,0,0,0,
10,4054.36,4160,4063.59,3836.41,4364.62,4152.82,4552.82,4524.62,4264.62,3908.21,4220.51,4589.74,4386.15,4590.77,1694,1709,0.246,0,0,0,0,
11,4046.15,4154.36,4057.44,3833.33,4368.72,4141.54,4544.1,4523.59,4262.56,3899.49,4214.36,4583.59,4380,4584.1,1693,1709,0.253,0,0,0,0,
12,4043.08,4151.79,4065.64,3831.79,4357.95,4137.44,4549.23,4534.36,4272.31,3905.64,4216.92,4587.69,4384.1,4584.62,1693,1710,0.261,0,0,0,0,
13,4048.72,4155.9,4071.79,3834.87,4358.46,4148.72,4555.9,4540.51,4278.46,3914.36,4220,4594.36,4386.67,4590.26,1691,1711,0.269,0,0,0,0,
14,4040.51,4156.92,4058.97,3835.9,4369.23,4150.26,4550.77,4528.21,4266.67,3902.56,4209.23,4588.21,4373.85,4578.97,1692,1710,0.277,0,0,0,0,
15,4025.64,4148.21,4045.64,3827.69,4365.64,4153.33,4552.31,4523.59,4260.51,3888.21,4198.97,4572.82,4361.03,4565.64,1690,1710,0.285,0,0,0,0,
16,4023.59,4142.56,4047.18,3828.21,4356.41,4165.64,4566.67,4536.41,4273.33,3892.31,4194.87,4566.15,4355.9,4565.13,1690,1711,0.293,0,0,0,0,
17,4031.28,4147.18,4049.74,3832.82,4359.49,4158.97,4571.79,4548.21,4285.13,3902.56,4198.97,4574.36,4358.97,4568.21,1689,1710,0.3,0,0,0,0,
18,4033.85,4144.1,4051.79,3819.49,4364.1,4149.23,4569.23,4554.36,4288.72,3907.18,4211.28,4584.62,4372.31,4568.72,1691,1710,0.308,0,0,0,0,
19,4033.33,4143.59,4057.44,3816.92,4367.18,4162.56,4570.26,4554.36,4292.82,3916.92,4219.49,4588.21,4382.05,4576.92,1690,1708,0.316,0,0,0,0,
20,4042.56,4159.49,4061.54,3834.87,4368.21,4170.26,4570.26,4544.1,4290.77,3927.18,4218.97,4591.79,4385.64,4591.28,1692,1708,0.324,0,0,0,0,
21,4052.31,4163.08,4065.13,3836.41,4369.74,4167.69,4565.13,4537.95,4284.1,3921.54,4217.95,4599.49,4390.77,4598.46,1693,1707,0.333,0,0,0,0,
22,4051.79,4151.79,4067.69,3832.31,4379.49,4170.26,4557.95,4538.46,4280,3911.79,4222.05,4604.1,4392.82,4602.56,1694,1708,0.339,0,0,0,0,
23,4053.33,4159.49,4071.28,3846.67,4377.95,4160.51,4553.85,4528.72,4272.82,3909.74,4219.49,4601.03,4388.21,4604.1,1696,1707,0.347,0,0,0,0,
24,4058.97,4172.31,4074.87,3852.82,4360,4142.56,4552.82,4523.08,4269.74,3912.31,4218.97,4599.49,4390.26,4602.56,1694,1708,0.355,0,0,0,0,
25,4062.05,4169.23,4074.87,3844.62,4365.13,4145.64,4553.33,4532.82,4275.38,3916.41,4227.69,4610.26,4396.92,4611.79,1695,1710,0.363,0,0,0,0,
26,4067.18,4170.77,4076.41,3846.67,4387.69,4154.87,4555.38,4542.56,4283.59,3918.97,4238.46,4619.49,4401.03,4628.21,1695,1709,0.371,0,0,0,0,
27,4067.18,4174.87,4076.92,3852.82,4377.44,4144.62,4557.95,4538.97,4280,3911.79,4233.33,4610.26,4403.08,4626.15,1695,1712,0.379,0,0,0,0,
28,4057.95,4169.74,4069.23,3850.26,4356.41,4139.49,4554.87,4528.21,4268.21,3908.72,4220.51,4596.41,4396.92,4612.31,1694,1711,0.386,0,0,0,0,
29,4056.92,4168.21,4065.13,3844.1,4370.26,4152.31,4554.36,4524.62,4270.77,3921.54,4222.05,4599.49,4394.36,4611.28,1694,1711,0.394,0,0,0,0,
30,4061.03,4171.28,4069.23,3845.64,4390.77,4156.92,4556.41,4527.18,4278.97,3927.18,4226.67,4603.59,4397.95,4610.26,1693,1710,0.403,0,0,0,0,
31,4053.85,4172.31,4064.62,3850.77,4383.08,4152.31,4555.9,4527.18,4273.33,3918.46,4221.03,4593.33,4396.92,4605.13,1692,1711,0.41,0,0,0,0,
32,4043.08,4168.72,4053.33,3842.05,4363.08,4153.33,4554.36,4521.03,4260.51,3907.69,4213.85,4582.56,4385.64,4597.95,1692,1709,0.418,0,0,0,0,
33,4042.05,4165.64,4052.82,3835.9,4363.59,4155.38,4546.67,4517.95,4258.46,3905.64,4212.82,4582.05,4376.92,4586.67,1691,1710,0.426,0,0,0,0,
34,4047.69,4167.18,4061.03,3843.59,4374.36,4153.33,4542.05,4521.03,4263.59,3909.74,4214.87,4586.67,4381.54,4589.23,1693,1708,0.433,0,0,0,0,
35,4051.79,4169.23,4061.54,3845.13,4371.28,4154.87,4549.23,4525.13,4266.67,3912.82,4217.95,4587.69,4391.79,4609.74,1691,1709,0.441,0,0,0,0,
36,4051.28,4169.23,4058.46,3843.08,4373.85,4152.82,4549.23,4520.51,4266.15,3910.26,4222.56,4587.18,4395.38,4615.38,1692,1710,0.449,0,0,0,0,
37,4052.31,4169.74,4062.56,3848.72,4381.03,4142.05,4538.97,4514.36,4260.51,3907.18,4222.05,4588.72,4395.9,4602.56,1691,1709,0.457,0,0,0,0,
38,4051.28,4169.23,4067.69,3848.21,4376.92,4140.51,4540.51,4517.95,4260,3911.79,4217.44,4588.72,4396.41,4598.46,1691,1710,0.465,0,0,0,0,
39,4052.31,4167.18,4067.69,3844.1,4376.92,4152.31,4549.23,4516.41,4261.54,3912.31,4213.85,4588.21,4394.36,4604.1,1691,1709,0.472,0,0,0,0,
40,4060.51,4170.77,4065.64,3848.21,4384.62,4154.36,4548.72,4506.67,4253.85,3902.05,4216.41,4587.18,4389.23,4603.59,1691,1711,0.48,0,0,0,0,
41,4058.97,4168.72,4062.05,3844.1,4377.95,4147.69,4545.64,4509.74,4246.67,3893.33,4213.85,4584.1,4381.54,4598.46,1692,1710,0.488,0,0,0,0,
42,4050.26,4164.1,4063.59,3840.51,4369.23,4150.26,4549.74,4520,4253.85,3894.87,4207.18,4583.08,4377.44,4598.46,1691,1711,0.496,0,0,0,0,
43,4053.33,4168.72,4067.69,3842.05,4375.9,4153.85,4554.87,4524.62,4266.67,3907.18,4213.33,4587.69,4381.54,4602.56,1692,1709,0.504,0,0,0,0,
44,4053.33,4162.05,4066.67,3831.79,4378.97,4147.69,4554.87,4523.59,4267.69,3909.23,4216.41,4588.72,4382.05,4599.49,1690,1711,0.512,0,0,0,0,
45,4049.74,4157.44,4065.13,3833.85,4380.51,4144.62,4550.77,4521.54,4262.05,3901.54,4209.74,4586.67,4376.92,4594.87,1691,1710,0.519,0,0,0,0,
46,4057.95,4178.97,4066.15,3854.36,4385.13,4151.79,4552.31,4530.77,4271.79,3908.21,4211.28,4592.31,4377.44,4598.97,1689,1710,0.527,0,0,0,0,
47,4064.1,4194.87,4069.74,3855.9,4377.44,4156.92,4558.97,4539.49,4280,3908.72,4212.31,4595.9,4376.92,4599.49,1690,1710,0.535,0,0,0,0,
48,4062.05,4186.15,4073.33,3844.62,4362.56,4145.64,4553.33,4527.69,4270.26,3894.36,4200.51,4588.21,4366.15,4583.59,1688,1709,0.543,0,0,0,0,
