COUNTER,AF3,F7,F3, FC5, T7, P7, O1, O2,P8, T8, FC6, F4,F8, AF4,GYROX, GYROY, TIMESTAMP, FUNC_ID, FUNC_VALUE, MARKER, SYNC_SIGNAL,
89,4431.79,4024.62,4350.77,4171.28,4135.38,3572.82,4445.64,4439.49,4750.26,4507.69,4539.49,4314.87,4308.72,3809.74,1656,1690,0.123,0,0,0,0,
90,4441.54,4028.72,4358.46,4175.9,4160.51,3565.13,4449.74,4445.13,4752.82,4510.77,4546.15,4323.08,4313.85,3820,1656,1691,0.131,0,0,0,0,
91,4428.72,4009.74,4350.77,4153.33,4138.97,3552.82,4436.92,4430.77,4747.18,4501.54,4534.36,4315.38,4305.64,3808.72,1657,1691,0.138,0,0,0,0,
92,4429.23,4010.26,4345.13,4150.77,4117.95,3555.9,4433.85,4429.74,4749.74,4504.1,4538.97,4320,4311.28,3807.18,1655,1693,0.146,0,0,0,0,
93,4447.18,4042.05,4359.49,4178.46,4152.82,3572.31,4452.31,4452.31,4767.18,4533.85,4561.03,4341.54,4335.9,3830.77,1657,1694,0.154,0,0,0,0,
94,4450.77,4044.1,4366.67,4185.64,4174.87,3581.03,4464.1,4463.59,4773.85,4540.51,4561.54,4342.56,4336.41,3835.38,1656,1693,0.162,0,0,0,0,
95,4442.56,4020,4353.33,4171.28,4152.82,3574.87,4457.95,4459.49,4765.64,4512.82,4546.67,4327.69,4314.87,3820,1657,1693,0.17,0,0,0,0,
96,4437.95,4018.46,4344.62,4165.64,4142.05,3571.79,4455.38,4451.79,4761.54,4502.56,4543.08,4323.08,4310.77,3816.92,1656,1691,0.178,0,0,0,0,
97,4427.18,4011.28,4344.62,4156.41,4136.41,3572.82,4458.46,4445.13,4764.1,4510.77,4542.56,4316.41,4310.77,3811.79,1656,1691,0.185,0,0,0,0,
98,4420.51,3998.46,4340,4150.77,4126.15,3570.77,4454.87,4444.1,4762.05,4511.79,4536.41,4307.69,4304.1,3801.54,1656,1689,0.193,0,0,0,0,
99,4433.85,4020.51,4342.05,4163.59,4139.49,3569.74,4451.28,4447.69,4756.41,4517.95,4542.05,4317.44,4313.85,3809.74,1655,1689,0.201,0,0,0,0,
100,4438.97,4029.23,4349.74,4160,4143.59,3570.26,4446.15,4443.59,4750.26,4521.54,4550.77,4323.08,4324.1,3818.97,1655,1689,0.209,0,0,0,0,
101,4432.31,4007.18,4350.77,4149.23,4134.87,3570.26,4442.56,4440.51,4747.18,4510.77,4552.31,4318.46,4320.51,3817.95,1655,1689,0.217,0,0,0,0,
102,4439.49,4017.44,4353.85,4175.9,4149.23,3572.82,4449.74,4451.79,4748.72,4508.21,4554.36,4329.23,4325.64,3831.28,1655,1690,0.224,0,0,0,0,
103,4451.28,4039.49,4358.46,4195.38,4152.31,3573.85,4451.79,4454.36,4747.18,4509.74,4555.38,4336.41,4329.23,3838.97,1654,1692,0.232,0,0,0,0,
104,4446.15,4024.1,4356.92,4169.74,4132.31,3571.79,4442.56,4443.08,4742.56,4502.05,4549.23,4323.08,4317.44,3821.54,1654,1693,0.24,0,0,0,0,
105,4441.03,4018.97,4359.49,4167.69,4137.44,3571.79,4447.18,4448.21,4746.67,4508.21,4549.74,4321.54,4321.03,3820.51,1654,1696,0.248,0,0,0,0,
106,4450.77,4038.97,4366.67,4189.23,4157.44,3572.82,4460.51,4461.03,4755.9,4521.03,4556.92,4331.79,4335.38,3836.41,1654,1698,0.256,0,0,0,0,
107,4454.36,4036.41,4365.13,4176.41,4149.74,3574.36,4457.95,4447.18,4749.23,4511.28,4550.26,4325.64,4326.67,3831.79,1654,1702,0.264,0,0,0,0,
108,4459.49,4028.72,4366.15,4166.67,4145.13,3583.59,4456.41,4436.41,4744.1,4503.08,4552.82,4324.62,4322.56,3829.23,1654,1702,0.271,0,0,0,0,
109,4460.51,4031.28,4365.64,4178.46,4136.92,3585.13,4459.49,4447.18,4751.79,4512.31,4562.05,4331.28,4327.18,3834.36,1654,1705,0.279,0,0,0,0,
110,4431.28,4013.85,4342.05,4164.1,4107.69,3572.82,4449.74,4443.08,4741.54,4495.9,4532.82,4306.15,4299.49,3805.13,1654,1704,0.287,0,0,0,0,
111,4416.92,3996.41,4335.9,4143.59,4112.82,3574.36,4444.1,4432.82,4726.15,4481.54,4511.79,4288.21,4283.08,3785.13,1653,1705,0.295,0,0,0,0,
