COUNTER,AF3,F7,F3, FC5, T7, P7, O1, O2,P8, T8, FC6, F4,F8, AF4,GYROX, GYROY, TIMESTAMP, FUNC_ID, FUNC_VALUE, MARKER, SYNC_SIGNAL,
85,4055.38,4124.1,4076.92,3884.1,4343.08,4151.28,4571.28,4539.49,4306.67,3921.03,4215.9,4596.92,4376.92,4632.31,1698,1715,0.346,0,0,0,0,
86,4054.87,4123.08,4074.36,3872.82,4340.51,4151.79,4569.74,4536.92,4308.72,3915.38,4215.38,4591.28,4373.85,4630.77,1697,1717,0.354,0,0,0,0,
87,4056.92,4122.05,4075.9,3881.03,4350.26,4148.21,4570.77,4544.1,4310.77,3915.38,4217.44,4596.92,4382.05,4629.23,1696,1718,0.361,0,0,0,0,
88,4059.49,4127.18,4078.46,3888.21,4355.38,4149.74,4572.31,4552.31,4312.31,3918.97,4218.97,4604.62,4386.15,4632.82,1693,1720,0.37,0,0,0,0,
89,4053.85,4124.62,4073.85,3881.03,4338.97,4150.26,4572.82,4544.1,4311.79,3912.82,4216.92,4593.33,4374.87,4633.85,1693,1719,0.378,0,0,0,0,
90,4049.23,4120.51,4066.15,3875.9,4339.49,4151.28,4571.79,4534.36,4305.64,3907.18,4212.31,4585.13,4369.23,4633.33,1689,1720,0.386,0,0,0,0,
91,4049.74,4119.49,4066.15,3873.33,4358.97,4152.82,4570.77,4542.56,4306.67,3906.15,4211.79,4594.87,4371.79,4631.28,1689,1721,0.393,0,0,0,0,
92,4057.44,4122.56,4074.87,3876.41,4367.69,4152.82,4574.36,4553.85,4321.03,3910.26,4220,4599.49,4372.82,4628.21,1688,1718,0.401,0,0,0,0,
93,4070.77,4133.85,4083.59,3883.08,4374.87,4157.44,4583.59,4555.9,4326.15,3919.49,4228.72,4602.56,4379.49,4634.87,1686,1721,0.409,0,0,0,0,
94,4074.36,4140,4086.67,3883.08,4378.97,4160.51,4583.08,4555.9,4314.87,3917.95,4231.79,4609.23,4389.74,4647.69,1685,1721,0.417,0,0,0,0,
95,4065.64,4127.69,4081.03,3878.97,4357.44,4152.82,4571.79,4553.33,4308.72,3914.36,4230.26,4607.18,4386.67,4647.18,1684,1724,0.425,0,0,0,0,
96,4066.67,4115.9,4077.95,3878.97,4346.15,4147.69,4569.23,4551.79,4315.38,3924.1,4228.21,4604.62,4383.08,4640,1684,1725,0.432,0,0,0,0,
97,4079.49,4127.69,4089.74,3882.05,4366.15,4151.28,4573.85,4554.87,4318.97,3929.74,4236.41,4616.92,4395.9,4648.21,1683,1727,0.44,0,0,0,0,
98,4078.46,4137.95,4091.79,3881.54,4374.87,4152.82,4572.31,4553.85,4319.49,3923.59,4244.1,4621.03,4403.08,4656.41,1683,1728,0.448,0,0,0,0,
99,4068.72,4129.74,4079.49,3880,4363.08,4151.79,4571.79,4551.79,4319.49,3925.13,4238.46,4610.77,4396.41,4644.62,1682,1728,0.456,0,0,0,0,
100,4067.18,4122.05,4077.44,3881.03,4353.33,4154.36,4576.41,4550.77,4315.38,3926.67,4230.26,4606.15,4390.26,4632.82,1683,1729,0.464,0,0,0,0,
101,4061.54,4121.03,4079.49,3878.46,4352.82,4154.36,4574.87,4543.59,4311.28,3912.31,4223.59,4604.1,4383.59,4629.74,1682,1730,0.472,0,0,0,0,
102,4059.49,4120.51,4074.36,3876.92,4369.74,4151.79,4570.77,4541.03,4310.26,3911.79,4220,4602.56,4380.51,4631.28,1683,1731,0.479,0,0,0,0,
103,4070.77,4124.1,4078.46,3880,4383.59,4151.79,4573.33,4552.31,4310.26,3926.15,4228.21,4608.21,4389.23,4640,1684,1727,0.487,0,0,0,0,
104,4075.38,4123.59,4085.13,3878.46,4365.64,4153.33,4575.9,4554.36,4308.72,3922.56,4234.87,4608.21,4391.28,4643.08,1683,1727,0.495,0,0,0,0,
105,4063.59,4114.87,4079.49,3876.92,4351.28,4152.82,4572.31,4546.15,4310.26,3908.21,4228.21,4600,4381.03,4634.87,1685,1724,0.503,0,0,0,0,
106,4058.97,4115.38,4076.41,3878.46,4366.15,4151.28,4570.26,4547.18,4311.79,3913.85,4228.72,4601.03,4377.44,4632.82,1684,1723,0.511,0,0,0,0,
107,4070.77,4121.54,4081.54,3877.44,4371.28,4153.33,4574.36,4545.13,4307.18,3927.18,4234.36,4610.77,4385.64,4639.49,1685,1722,0.518,0,0,0,0,
108,4077.95,4123.08,4087.18,3875.38,4362.05,4155.9,4579.49,4543.59,4308.21,3926.67,4232.82,4613.85,4392.31,4642.05,1686,1720,0.526,0,0,0,0,
109,4076.92,4129.74,4089.74,3878.97,4358.46,4155.9,4578.46,4551.79,4319.49,3920,4231.79,4613.33,4393.85,4642.56,1686,1719,0.534,0,0,0,0,
110,4077.95,4133.33,4086.67,3877.44,4351.79,4153.33,4570.77,4547.18,4314.87,3910.26,4230.77,4610.26,4391.79,4646.15,1686,1719,0.542,0,0,0,0,
111,4096.92,4141.03,4090.77,3887.18,4362.05,4147.69,4569.74,4536.92,4303.08,3910.77,4232.82,4613.85,4395.38,4660,1688,1718,0.55,0,0,0,0,
112,4125.64,4160.51,4103.59,3905.64,4369.23,4142.56,4570.77,4541.54,4307.69,3917.95,4236.41,4625.13,4403.08,4687.69,1687,1718,0.558,0,0,0,0,
113,4147.69,4174.36,4108.72,3901.03,4345.13,4136.92,4560.51,4533.85,4301.54,3908.21,4228.21,4627.69,4397.95,4711.79,1687,1720,0.564,0,0,0,0,
114,4186.67,4194.87,4122.05,3902.56,4344.1,4137.44,4557.44,4518.46,4278.97,3897.95,4223.08,4633.85,4401.03,4745.13,1688,1719,0.573,0,0,0,0,
115,4249.23,4235.9,4150.26,3933.85,4367.18,4143.59,4567.69,4529.23,4281.03,3905.64,4234.36,4652.82,4418.46,4797.44,1687,1720,0.581,0,0,0,0,
116,4304.62,4271.79,4166.67,3949.74,4360.51,4140.51,4569.74,4540,4298.46,3913.85,4245.64,4673.85,4433.33,4848.72,1688,1718,0.589,0,0,0,0,
117,4334.36,4292.82,4174.36,3942.05,4351.79,4133.85,4566.15,4534.87,4296.92,3911.79,4252.82,4686.15,4447.69,4880.51,1686,1718,0.597,0,0,0,0,
118,4348.21,4303.08,4186.15,3944.62,4364.62,4138.46,4568.72,4536.41,4291.28,3910.77,4260,4691.28,4460.51,4898.46,1687,1716,0.604,0,0,0,0,
119,4353.33,4294.36,4188.72,3947.69,4352.31,4142.05,4572.31,4541.54,4296.92,3917.95,4264.1,4694.87,4460.51,4912.82,1685,1715,0.611,0,0,0,0,
120,4345.64,4281.54,4186.67,3936.92,4330.26,4134.87,4572.31,4540.51,4301.03,3924.1,4264.62,4701.54,4457.95,4914.36,1686,1714,0.62,0,0,0,0,
121,4338.46,4280,4188.72,3939.49,4343.59,4142.05,4573.85,4541.54,4305.64,3930.26,4269.23,4705.13,4466.15,4901.03,1686,1713,0.628,0,0,0,0,
122,4324.62,4273.33,4181.03,3945.64,4358.97,4153.33,4572.31,4543.08,4308.21,3929.23,4268.72,4693.33,4461.54,4885.64,1687,1711,0.635,0,0,0,0,
123,4294.87,4254.36,4168.72,3935.9,4357.95,4143.08,4569.23,4538.97,4300,3915.9,4257.95,4671.79,4445.13,4863.59,1687,1709,0.644,0,0,0,0,
124,4266.67,4230.26,4158.46,3924.1,4357.95,4140,4571.28,4538.97,4297.95,3912.31,4249.23,4663.08,4433.85,4829.23,1688,1708,0.651,0,0,0,0,
125,4248.72,4215.38,4146.15,3925.13,4371.28,4154.36,4572.31,4547.18,4309.74,3925.64,4246.15,4661.03,4428.21,4801.54,1689,1705,0.659,0,0,0,0,
126,4229.23,4213.85,4138.97,3928.21,4380,4156.92,4571.28,4554.87,4316.92,3932.82,4249.74,4654.87,4428.21,4787.18,1689,1704,0.667,0,0,0,0,
127,4204.62,4205.64,4136.92,3918.46,4369.23,4151.28,4577.95,4554.87,4311.79,3928.21,4248.21,4647.69,4427.18,4768.72,1690,1702,0.675,0,0,0,0,
128,4184.1,4184.62,4126.15,3907.18,4361.03,4156.41,4583.59,4549.23,4308.21,3925.13,4238.46,4639.49,4415.9,4748.21,1689,1701,0.683,0,0,0,0,
0,4168.21,4168.21,4115.9,3904.62,4365.64,4152.82,4580.51,4546.67,4309.23,3924.62,4235.38,4632.31,4406.15,4730.26,1690,1701,0.691,0,0,0,0,
1,4163.59,4170.26,4120.51,3908.72,4368.21,4152.82,4583.08,4552.82,4316.41,3933.85,4247.18,4637.95,4417.44,4718.46,1689,1698,0.698,0,0,0,0,
2,4166.15,4171.79,4126.67,3910.77,4365.64,4169.23,4591.28,4559.49,4325.64,3946.15,4254.36,4642.56,4428.21,4720.51,1688,1698,0.706,0,0,0,0,
3,4153.85,4155.9,4120.51,3903.08,4363.59,4167.18,4586.67,4555.38,4321.03,3941.54,4248.21,4634.36,4421.03,4719.49,1688,1697,0.714,0,0,0,0,
4,4139.49,4146.15,4112.31,3894.36,4364.1,4150.26,4581.03,4550.26,4315.38,3938.46,4246.15,4635.9,4417.44,4708.21,1688,1697,0.721,0,0,0,0,
5,4133.85,4153.33,4110.26,3890.77,4360.51,4155.9,4585.13,4554.36,4321.54,3940.51,4249.23,4643.08,4423.08,4700.51,1687,1696,0.729,0,0,0,0,
6,4126.15,4150.77,4108.72,3893.33,4353.33,4168.21,4585.64,4557.44,4325.13,3935.9,4247.18,4633.85,4416.92,4693.85,1686,1697,0.736,0,0,0,0,
7,4121.54,4139.49,4109.74,3897.95,4367.69,4163.08,4584.1,4556.92,4320,3937.95,4247.69,4630.26,4410.26,4688.21,1685,1697,0.744,0,0,0,0,
8,4123.08,4139.49,4115.38,3899.49,4388.72,4157.95,4586.67,4555.9,4315.9,3943.59,4249.23,4635.38,4413.85,4688.21,1685,1698,0.753,0,0,0,0,
9,4112.82,4137.44,4113.85,3896.41,4376.92,4154.87,4585.64,4552.82,4312.82,3933.33,4238.97,4629.74,4407.18,4681.54,1684,1698,0.761,0,0,0,0,
10,4101.54,4132.82,4107.69,3894.36,4365.13,4155.38,4584.62,4550.77,4313.33,3923.08,4233.85,4624.1,4396.92,4669.74,1685,1700,0.769,0,0,0,0,
11,4105.13,4132.82,4108.21,3896.41,4385.13,4166.15,4591.28,4555.9,4323.59,3929.23,4243.08,4630.26,4402.56,4672.31,1684,1700,0.776,0,0,0,0,
12,4103.08,4131.28,4106.15,3897.44,4398.46,4171.79,4595.38,4560,4330.77,3937.95,4242.05,4627.69,4404.62,4672.82,1685,1701,0.784,0,0,0,0,
13,4084.1,4119.49,4092.31,3888.21,4373.33,4169.23,4588.72,4555.38,4323.08,3939.49,4229.74,4607.69,4390.26,4647.69,1684,1701,0.792,0,0,0,0,
14,4072.31,4107.18,4081.54,3876.92,4357.95,4172.31,4583.08,4557.44,4324.62,3940,4229.74,4600.51,4385.64,4631.79,1685,1701,0.8,0,0,0,0,
15,4073.85,4109.74,4086.67,3880,4383.59,4173.85,4584.1,4571.28,4336.41,3943.08,4237.44,4613.33,4396.41,4648.21,1685,1700,0.808,0,0,0,0,
16,4073.33,4111.28,4091.28,3883.59,4400.51,4169.23,4583.08,4570.77,4332.31,3943.59,4235.38,4616.41,4397.44,4654.36,1683,1702,0.816,0,0,0,0,
17,4069.23,4106.67,4083.59,3877.44,4384.62,4171.79,4582.56,4556.92,4324.62,3941.03,4231.79,4609.74,4392.82,4637.44,1686,1701,0.824,0,0,0,0,
18,4075.38,4116.92,4084.62,3885.13,4382.56,4171.79,4585.13,4560,4332.31,3942.56,4236.41,4613.85,4398.46,4640.51,1684,1701,0.831,0,0,0,0,
19,4078.46,4124.1,4091.79,3889.74,4389.74,4168.21,4585.13,4570.26,4335.9,3942.56,4235.9,4619.49,4400,4652.31,1686,1702,0.839,0,0,0,0,
20,4068.21,4108.21,4087.18,3877.44,4374.36,4171.28,4585.64,4563.08,4328.21,3941.03,4229.74,4614.87,4391.28,4642.05,1685,1701,0.846,0,0,0,0,
21,4066.15,4102.05,4085.64,3882.56,4377.95,4171.79,4588.72,4554.87,4324.62,3945.13,4235.9,4616.41,4393.33,4635.9,1686,1702,0.854,0,0,0,0,
22,4067.18,4111.79,4089.23,3892.82,4396.41,4166.67,4587.69,4557.44,4317.95,3937.95,4242.56,4619.49,4396.92,4638.97,1687,1702,0.862,0,0,0,0,
23,4056.41,4107.69,4078.97,3882.56,4387.18,4168.72,4587.18,4556.92,4312.82,3927.69,4233.85,4609.23,4389.74,4635.38,1687,1704,0.87,0,0,0,0,
24,4050.77,4102.56,4071.79,3874.36,4381.03,4167.69,4584.62,4552.82,4315.38,3934.36,4230.26,4600,4388.21,4628.72,1688,1705,0.877,0,0,0,0,
25,4055.9,4104.1,4076.92,3878.97,4375.9,4156.92,4576.92,4551.28,4311.79,3935.9,4234.36,4602.05,4386.67,4623.08,1689,1708,0.885,0,0,0,0,
26,4053.33,4096.92,4071.79,3878.46,4353.85,4151.79,4574.87,4552.82,4305.64,3926.67,4225.13,4602.56,4375.9,4616.92,1691,1707,0.894,0,0,0,0,
27,4040,4088.21,4058.97,3874.36,4355.9,4153.85,4575.9,4548.72,4302.56,3923.59,4213.33,4596.92,4369.23,4616.92,1690,1708,0.902,0,0,0,0,
28,4036.41,4092.31,4058.97,3871.79,4377.95,4154.87,4571.79,4543.08,4299.49,3918.46,4214.87,4594.36,4371.79,4618.97,1693,1708,0.909,0,0,0,0,
29,4044.62,4098.97,4068.21,3873.85,4380,4152.31,4567.18,4547.18,4304.62,3915.9,4218.97,4599.49,4376.41,4617.44,1693,1708,0.916,0,0,0,0,
30,4048.21,4096.41,4071.79,3880,4380,4152.82,4571.28,4555.38,4312.31,3928.72,4219.49,4604.1,4376.92,4617.44,1693,1708,0.924,0,0,0,0,
31,4041.54,4085.64,4063.08,3871.79,4381.03,4161.03,4576.92,4554.36,4308.72,3925.64,4215.9,4595.9,4368.21,4610.77,1694,1706,0.932,0,0,0,0,
32,4033.33,4076.41,4054.36,3860.51,4369.74,4170.26,4577.44,4552.31,4307.18,3909.23,4212.82,4582.05,4359.49,4600,1694,1707,0.941,0,0,0,0,
33,4029.23,4076.41,4056.41,3861.03,4363.08,4166.15,4580.51,4556.41,4312.31,3915.38,4212.31,4583.08,4364.1,4600.51,1694,1706,0.949,0,0,0,0,
34,4032.82,4084.62,4058.46,3861.54,4365.13,4154.36,4584.1,4557.44,4312.82,3930.77,4215.38,4593.85,4374.87,4608.72,1693,1706,0.956,0,0,0,0,
35,4040,4090.26,4058.46,3864.62,4366.15,4152.31,4580.51,4555.38,4314.87,3936.41,4223.59,4600,4378.46,4618.46,1694,1705,0.964,0,0,0,0,
36,4041.54,4094.36,4067.69,3876.92,4368.72,4163.08,4580,4563.59,4321.54,3944.1,4234.87,4605.13,4385.13,4626.67,1693,1707,0.972,0,0,0,0,
37,4042.56,4096.41,4072.82,3882.56,4365.13,4167.69,4586.15,4569.74,4320.51,3946.15,4237.95,4608.21,4388.72,4625.13,1693,1707,0.979,0,0,0,0,
38,4043.08,4092.82,4067.18,3870.26,4364.62,4158.46,4579.49,4557.95,4309.74,3933.85,4229.23,4603.08,4380,4615.9,1691,1709,0.989,0,0,0,0,
39,4038.46,4091.28,4065.13,3858.46,4375.9,4154.36,4573.85,4549.74,4306.67,3926.67,4220.51,4602.05,4374.36,4618.97,1692,1709,1.006,0,0,0,0,
40,4035.9,4088.72,4069.74,3861.54,4369.74,4155.9,4578.97,4552.31,4304.62,3926.67,4216.41,4602.56,4373.33,4620,1690,1708,1.007,0,0,0,0,
41,4037.44,4080.51,4067.69,3866.67,4347.18,4153.85,4575.38,4542.05,4296.41,3923.08,4213.33,4598.97,4367.69,4606.67,1690,1707,1.011,0,0,0,0,
