COUNTER,AF3,F7,F3, FC5, T7, P7, O1, O2,P8, T8, FC6, F4,F8, AF4,GYROX, GYROY, TIMESTAMP, FUNC_ID, FUNC_VALUE, MARKER, SYNC_SIGNAL,
108,4401.03,4072.82,4571.28,4171.79,3936.92,3605.13,4448.72,4447.69,4736.92,4496.41,4552.82,4337.95,4285.13,3933.33,1655,1693,0.118,0,0,0,0,
109,4417.44,4054.36,4573.85,4160,3926.67,3601.54,4441.03,4444.62,4726.15,4492.31,4555.38,4325.13,4305.64,3925.64,1653,1694,0.126,0,0,0,0,
110,4427.69,4043.59,4587.18,4135.9,3920.51,3602.05,4441.54,4441.03,4716.92,4490.26,4554.87,4336.41,4289.74,3944.1,1655,1694,0.134,0,0,0,0,
111,4420,4064.62,4584.62,4146.15,3926.67,3605.64,4449.74,4443.08,4727.69,4490.77,4554.87,4344.1,4274.87,3952.31,1653,1693,0.142,0,0,0,0,
112,4418.46,4063.59,4581.03,4154.36,3929.23,3605.13,4453.85,4443.08,4736.92,4492.82,4553.85,4334.36,4285.64,3933.33,1654,1694,0.149,0,0,0,0,
113,4418.97,4053.33,4573.85,4152.31,3928.21,3605.13,4449.23,4440,4725.64,4485.13,4550.77,4329.74,4282.05,3942.56,1654,1691,0.157,0,0,0,0,
114,4410.77,4069.74,4553.33,4157.44,3928.72,3606.15,4445.13,4437.44,4717.95,4473.33,4550.77,4332.82,4272.82,3946.67,1654,1691,0.165,0,0,0,0,
115,4411.28,4069.74,4556.41,4144.62,3924.62,3602.56,4445.13,4436.41,4725.64,4481.03,4553.85,4334.36,4280,3921.03,1654,1689,0.173,0,0,0,0,
116,4414.36,4052.82,4571.79,4138.46,3923.59,3601.03,4443.08,4431.28,4723.08,4492.82,4552.31,4334.36,4281.54,3924.1,1654,1690,0.181,0,0,0,0,
117,4411.79,4061.54,4567.69,4156.41,3935.38,3605.64,4443.59,4431.28,4714.87,4488.21,4552.82,4330.77,4277.44,3947.18,1655,1691,0.188,0,0,0,0,
118,4422.56,4064.62,4567.18,4148.21,3944.62,3606.67,4445.13,4440,4719.49,4489.23,4562.05,4334.87,4285.64,3958.46,1654,1692,0.196,0,0,0,0,
119,4425.64,4053.85,4568.21,4133.33,3942.05,3604.1,4443.08,4442.05,4723.59,4496.92,4567.18,4344.1,4292.31,3954.87,1656,1693,0.204,0,0,0,0,
120,4417.44,4053.33,4556.41,4152.82,3943.08,3605.13,4443.59,4440.51,4718.97,4489.74,4563.59,4341.03,4285.13,3939.49,1655,1693,0.212,0,0,0,0,
121,4416.92,4054.87,4551.79,4163.08,3937.95,3606.67,4446.67,4442.05,4719.49,4484.1,4559.49,4329.74,4280.51,3923.59,1656,1694,0.22,0,0,0,0,
122,4412.31,4059.49,4554.87,4145.13,3924.62,3602.05,4445.13,4437.95,4721.54,4490.77,4555.38,4327.69,4274.36,3924.1,1653,1693,0.228,0,0,0,0,
123,4397.44,4063.59,4549.23,4146.15,3929.23,3600.51,4448.21,4434.87,4718.46,4490.26,4550.26,4332.82,4263.59,3930.26,1654,1693,0.235,0,0,0,0,
124,4401.54,4052.82,4548.21,4151.79,3944.1,3606.15,4457.95,4441.54,4722.05,4490.26,4558.46,4336.92,4274.36,3936.92,1653,1690,0.243,0,0,0,0,
125,4426.67,4044.62,4561.54,4144.1,3946.67,3610.26,4462.56,4446.67,4735.38,4504.1,4572.82,4343.08,4295.38,3948.72,1652,1691,0.251,0,0,0,0,
126,4424.62,4053.85,4557.44,4143.59,3941.03,3608.21,4458.97,4445.13,4739.49,4510.77,4567.18,4345.64,4291.28,3946.15,1653,1689,0.259,0,0,0,0,
127,4404.1,4062.05,4540,4142.56,3938.46,3605.13,4453.85,4439.49,4730.77,4492.31,4551.79,4334.87,4275.38,3928.72,1652,1689,0.267,0,0,0,0,
128,4404.62,4063.59,4542.05,4141.54,3948.72,3605.64,4448.21,4437.95,4725.13,4481.54,4551.79,4327.69,4273.33,3930.26,1653,1689,0.274,0,0,0,0,
0,4415.38,4066.15,4548.72,4149.74,3960,3607.18,4450.26,4441.54,4724.62,4498.97,4558.97,4334.36,4279.49,3946.15,1653,1690,0.282,0,0,0,0,
1,4414.87,4054.36,4539.49,4147.18,3948.72,3606.67,4454.36,4438.46,4718.97,4504.1,4556.41,4338.46,4282.05,3938.46,1654,1690,0.29,0,0,0,0,
2,4410.26,4034.36,4533.33,4127.69,3936.92,3605.13,4453.85,4429.23,4714.36,4484.62,4552.31,4331.28,4276.92,3923.59,1654,1691,0.298,0,0,0,0,
3,4406.67,4047.69,4537.44,4138.46,3951.79,3608.21,4453.85,4429.23,4719.49,4482.05,4555.38,4325.64,4274.36,3938.46,1656,1691,0.305,0,0,0,0,
4,4406.15,4078.46,4535.9,4161.54,3961.54,3614.36,4451.28,4434.87,4725.64,4500,4561.03,4329.23,4280.51,3943.59,1655,1692,0.313,0,0,0,0,
5,4423.08,4072.31,4536.92,4150.77,3952.31,3614.87,4445.13,4430.77,4724.1,4508.72,4566.67,4337.95,4283.08,3941.54,1656,1692,0.321,0,0,0,0,
