COUNTER,AF3,F7,F3, FC5, T7, P7, O1, O2,P8, T8, FC6, F4,F8, AF4,GYROX, GYROY, TIMESTAMP, FUNC_ID, FUNC_VALUE, MARKER, SYNC_SIGNAL,
45,4458.97,3927.18,4392.82,4116.41,4092.82,3601.54,4420,4470.26,4750.26,4568.72,4476.92,4321.54,4408.72,3760.51,1655,1694,0.204,0,0,0,0,
46,4456.41,3924.62,4389.74,4116.92,4093.85,3603.08,4416.41,4459.49,4745.13,4557.95,4460.51,4314.87,4390.77,3753.33,1655,1692,0.212,0,0,0,0,
47,4452.31,3924.62,4378.46,4113.33,4088.72,3604.1,4410.77,4456.92,4741.54,4549.23,4458.97,4308.21,4384.62,3752.31,1655,1694,0.22,0,0,0,0,
48,4461.03,3938.46,4386.15,4110.77,4094.36,3604.62,4413.33,4461.03,4748.72,4560.51,4467.18,4311.28,4394.87,3755.9,1655,1693,0.227,0,0,0,0,
49,4474.36,3946.15,4401.54,4119.49,4089.23,3603.59,4418.97,4463.08,4757.44,4572.31,4460.51,4312.31,4401.03,3750.26,1655,1693,0.235,0,0,0,0,
50,4475.38,3940,4394.36,4125.64,4086.15,3604.1,4415.9,4460,4751.28,4558.46,4454.36,4309.23,4389.74,3747.18,1656,1691,0.243,0,0,0,0,
51,4470.26,3942.05,4378.46,4123.59,4101.54,3603.08,4407.18,4449.23,4740.51,4533.33,4461.03,4308.72,4375.9,3748.72,1656,1690,0.251,0,0,0,0,
52,4472.82,3937.95,4381.03,4118.97,4106.15,3602.05,4406.15,4444.1,4736.41,4537.95,4456.41,4302.56,4378.46,3748.21,1656,1688,0.258,0,0,0,0,
53,4478.46,3921.03,4387.69,4109.74,4099.49,3605.13,4404.62,4443.59,4727.69,4548.72,4444.62,4297.44,4385.64,3745.64,1656,1688,0.267,0,0,0,0,
54,4471.28,3927.69,4376.41,4110.77,4092.82,3602.05,4395.9,4433.33,4709.23,4527.69,4442.56,4294.87,4375.9,3739.49,1655,1689,0.274,0,0,0,0,
55,4467.18,3946.67,4370.77,4116.92,4080.51,3589.74,4398.46,4435.9,4707.69,4520.51,4443.59,4292.31,4365.13,3734.36,1655,1691,0.282,0,0,0,0,
56,4480.51,3944.1,4387.69,4113.33,4077.95,3589.74,4413.33,4457.95,4737.44,4549.74,4445.64,4303.59,4381.54,3747.69,1655,1692,0.29,0,0,0,0,
57,4491.79,3938.46,4396.41,4111.79,4097.44,3603.08,4418.97,4466.15,4756.41,4566.15,4456.41,4318.46,4405.13,3761.54,1655,1693,0.298,0,0,0,0,
58,4491.79,3940,4384.62,4122.56,4101.03,3603.08,4413.85,4457.95,4746.15,4552.31,4468.21,4315.38,4400.51,3758.97,1654,1693,0.306,0,0,0,0,
59,4491.79,3944.62,4378.97,4125.13,4085.64,3591.28,4410.77,4455.38,4739.49,4543.59,4457.44,4307.69,4377.44,3758.97,1654,1694,0.314,0,0,0,0,
60,4490.77,3951.79,4384.62,4115.9,4087.18,3593.85,4409.74,4462.05,4750.26,4555.9,4451.79,4310.77,4380.51,3754.36,1654,1692,0.321,0,0,0,0,
61,4491.79,3953.33,4384.1,4122.05,4097.95,3605.13,4417.44,4475.38,4766.67,4574.36,4474.36,4315.9,4407.18,3747.18,1653,1692,0.329,0,0,0,0,
62,4507.69,3945.13,4382.56,4127.18,4094.36,3607.18,4428.21,4482.56,4771.28,4576.41,4478.97,4318.97,4409.74,3762.56,1655,1692,0.337,0,0,0,0,
63,4506.67,3932.82,4384.1,4108.72,4086.15,3602.05,4420.51,4469.23,4757.44,4557.44,4454.87,4312.31,4388.21,3770.26,1654,1690,0.345,0,0,0,0,
64,4481.03,3929.74,4375.38,4095.9,4095.38,3600,4410.77,4456.92,4740.51,4540,4446.67,4297.95,4380,3744.1,1656,1691,0.352,0,0,0,0,
