COUNTER,AF3,F7,F3, FC5, T7, P7, O1, O2,P8, T8, FC6, F4,F8, AF4,GYROX, GYROY, TIMESTAMP, FUNC_ID, FUNC_VALUE, MARKER, SYNC_SIGNAL,
36,4366.15,4013.33,4338.46,4140.51,4076.92,3603.59,4443.59,4459.49,4765.64,4518.46,4528.21,4329.23,4234.87,3851.28,1655,1691,0.315,0,0,0,0,
37,4370.77,4016.92,4343.59,4142.05,4073.33,3603.59,4442.56,4457.95,4766.15,4522.05,4527.69,4334.87,4246.15,3861.03,1654,1691,0.323,0,0,0,0,
38,4371.79,4010.26,4342.56,4141.54,4069.23,3601.03,4433.33,4445.64,4766.15,4521.03,4525.13,4331.79,4242.05,3858.46,1655,1692,0.331,0,0,0,0,
39,4371.28,4007.69,4340,4136.92,4071.79,3602.05,4436.92,4446.67,4767.18,4521.54,4533.85,4325.64,4233.33,3853.33,1654,1691,0.339,0,0,0,0,
40,4368.21,4012.82,4340.51,4135.9,4077.44,3605.64,4445.13,4456.92,4768.21,4524.62,4540,4325.64,4235.9,3854.87,1654,1692,0.347,0,0,0,0,
41,4366.15,4015.38,4338.97,4137.44,4078.46,3606.15,4444.1,4452.31,4765.13,4518.46,4527.18,4328.21,4236.41,3852.31,1656,1691,0.355,0,0,0,0,
42,4368.21,4010.77,4337.95,4130.77,4072.82,3603.59,4441.54,4446.67,4764.62,4508.72,4520,4325.13,4232.82,3847.18,1654,1692,0.362,0,0,0,0,
43,4367.69,4004.62,4340.51,4125.64,4071.28,3604.1,4443.59,4451.28,4765.64,4506.15,4524.1,4319.49,4232.82,3847.18,1656,1692,0.37,0,0,0,0,
44,4365.13,4003.08,4336.92,4132.31,4074.87,3606.15,4443.59,4448.21,4757.44,4508.72,4521.03,4315.9,4234.36,3846.67,1655,1693,0.378,0,0,0,0,
45,4369.23,4010.77,4335.38,4140.51,4075.9,3607.18,4443.59,4441.54,4753.33,4507.69,4518.46,4319.49,4232.31,3847.69,1655,1693,0.386,0,0,0,0,
46,4375.9,4014.36,4342.56,4140,4074.36,3606.15,4445.13,4445.13,4761.03,4505.64,4523.08,4325.13,4233.33,3851.28,1655,1692,0.394,0,0,0,0,
47,4375.38,4008.72,4345.13,4136.92,4075.38,3603.59,4441.54,4443.59,4761.54,4506.15,4521.03,4323.08,4235.38,3850.77,1655,1693,0.401,0,0,0,0,
48,4367.69,4005.64,4340.51,4138.46,4076.41,3603.59,4442.05,4443.08,4758.46,4505.64,4516.92,4315.9,4230.77,3843.08,1654,1693,0.409,0,0,0,0,
49,4356.41,4004.1,4335.9,4134.87,4068.21,3605.13,4446.15,4449.74,4763.59,4504.62,4514.87,4311.28,4222.05,3837.95,1654,1692,0.417,0,0,0,0,
50,4355.38,4002.05,4332.82,4124.62,4064.62,3605.13,4445.13,4448.21,4765.13,4509.74,4517.95,4313.85,4228.72,3843.59,1654,1691,0.426,0,0,0,0,
51,4364.1,3997.95,4336.41,4122.56,4074.36,3605.64,4443.08,4449.74,4764.62,4519.49,4531.79,4324.62,4249.74,3858.97,1655,1691,0.433,0,0,0,0,
52,4366.15,3990.26,4343.08,4127.69,4077.44,3606.67,4445.64,4459.49,4768.21,4527.18,4544.1,4336.92,4264.62,3873.85,1655,1690,0.442,0,0,0,0,
