COUNTER,AF3,F7,F3, FC5, T7, P7, O1, O2,P8, T8, FC6, F4,F8, AF4,GYROX, GYROY, TIMESTAMP, FUNC_ID, FUNC_VALUE, MARKER, SYNC_SIGNAL,
55,4059.49,4171.79,4057.44,3871.28,4409.74,4166.15,4553.85,4537.44,4287.69,3911.28,4229.23,4597.44,4411.28,4598.97,1691,1711,0.091,0,0,0,0,
56,4063.08,4187.18,4056.92,3882.05,4409.74,4167.69,4555.9,4541.03,4295.38,3926.15,4235.9,4601.03,4420,4601.03,1692,1711,0.099,0,0,0,0,
57,4062.56,4160,4064.1,3849.23,4393.85,4154.36,4556.92,4538.97,4297.44,3928.21,4236.41,4599.49,4418.46,4598.97,1692,1710,0.106,0,0,0,0,
58,4065.64,4145.64,4073.85,3838.46,4389.23,4148.21,4555.38,4541.03,4295.38,3923.08,4238.97,4606.15,4416.92,4599.49,1692,1710,0.115,0,0,0,0,
59,4077.44,4167.18,4077.95,3869.23,4400,4161.03,4559.49,4550.77,4300.51,3927.69,4247.69,4620,4427.69,4608.21,1692,1710,0.123,0,0,0,0,
60,4076.41,4175.38,4073.85,3876.92,4403.59,4165.13,4566.15,4550.77,4302.05,3928.21,4250.26,4618.97,4431.28,4613.85,1693,1709,0.13,0,0,0,0,
61,4071.28,4166.15,4073.33,3863.08,4395.9,4163.59,4566.15,4546.67,4298.46,3930.77,4247.69,4613.85,4425.13,4610.26,1692,1710,0.138,0,0,0,0,
62,4076.41,4162.56,4080,3861.54,4385.13,4166.67,4568.21,4553.85,4307.69,3943.59,4250.77,4618.97,4428.21,4606.67,1693,1710,0.145,0,0,0,0,
63,4071.28,4156.92,4074.36,3858.46,4379.49,4161.03,4567.69,4554.87,4312.31,3941.54,4246.15,4613.33,4427.18,4602.56,1692,1710,0.154,0,0,0,0,
64,4060,4141.03,4066.67,3847.69,4383.59,4149.74,4557.95,4541.54,4296.92,3924.1,4231.28,4597.44,4415.9,4598.46,1692,1711,0.161,0,0,0,0,
65,4067.69,4143.59,4073.33,3852.31,4395.9,4157.44,4558.97,4541.54,4296.41,3923.08,4235.9,4604.62,4417.95,4602.56,1691,1710,0.169,0,0,0,0,
66,4076.41,4169.74,4079.49,3862.56,4414.36,4167.69,4568.21,4552.31,4309.23,3931.79,4249.74,4620.51,4425.64,4606.15,1691,1711,0.177,0,0,0,0,
67,4070.26,4178.97,4075.38,3868.72,4420.51,4161.54,4566.67,4553.33,4303.59,3929.23,4243.59,4612.31,4417.95,4604.1,1690,1710,0.185,0,0,0,0,
68,4063.59,4162.05,4072.31,3866.15,4399.49,4159.49,4563.59,4548.72,4295.9,3924.1,4230.26,4600.51,4407.69,4598.46,1689,1711,0.192,0,0,0,0,
69,4064.1,4155.38,4071.79,3854.36,4390.26,4161.54,4564.1,4548.21,4302.05,3921.03,4229.23,4603.59,4406.15,4592.31,1690,1710,0.2,0,0,0,0,
70,4065.13,4155.9,4071.79,3853.33,4397.95,4151.28,4555.38,4540,4294.87,3912.31,4224.62,4603.08,4400.51,4585.64,1690,1711,0.209,0,0,0,0,
71,4065.64,4139.49,4074.36,3853.33,4392.31,4142.56,4548.72,4525.64,4277.44,3905.13,4212.31,4596.41,4392.82,4585.13,1691,1710,0.216,0,0,0,0,
72,4067.18,4142.56,4075.9,3851.79,4391.28,4147.69,4559.49,4529.74,4284.1,3913.33,4217.44,4600,4399.49,4594.36,1690,1711,0.225,0,0,0,0,
73,4069.23,4164.62,4074.36,3865.64,4399.49,4155.9,4569.74,4541.54,4297.44,3926.15,4231.28,4604.1,4410.26,4599.49,1692,1710,0.231,0,0,0,0,
74,4070.26,4165.13,4074.36,3871.28,4398.46,4157.95,4568.21,4542.05,4294.87,3926.15,4232.82,4602.56,4412.82,4596.92,1692,1711,0.24,0,0,0,0,
75,4072.82,4157.95,4080,3866.15,4400,4160.51,4566.67,4544.1,4301.03,3929.23,4234.87,4609.23,4411.79,4600,1692,1711,0.248,0,0,0,0,
76,4078.46,4160.51,4083.59,3865.64,4401.03,4167.69,4574.36,4555.9,4315.9,3945.64,4247.18,4620,4415.38,4605.64,1692,1710,0.255,0,0,0,0,
77,4075.38,4146.15,4080,3847.69,4383.08,4165.64,4573.85,4555.38,4309.23,3943.08,4246.67,4616.41,4413.85,4602.56,1692,1711,0.264,0,0,0,0,
78,4065.13,4135.38,4073.33,3841.54,4390.26,4155.38,4559.49,4543.59,4295.9,3928.21,4237.44,4609.23,4410.26,4601.54,1693,1710,0.27,0,0,0,0,
79,4061.54,4139.49,4067.69,3863.59,4396.92,4146.67,4553.85,4537.44,4292.31,3922.05,4231.28,4603.59,4404.1,4599.49,1692,1710,0.279,0,0,0,0,
80,4054.36,4128.21,4060,3847.18,4364.62,4141.03,4554.36,4532.82,4281.54,3915.38,4219.49,4591.28,4392.31,4583.59,1693,1709,0.286,0,0,0,0,
81,4050.26,4132.31,4057.44,3828.21,4375.9,4145.13,4554.36,4534.87,4282.05,3916.92,4217.95,4590.26,4396.41,4580.51,1691,1708,0.294,0,0,0,0,
82,4058.46,4155.9,4060,3857.95,4417.44,4161.54,4559.49,4542.56,4295.9,3929.23,4231.79,4601.54,4408.72,4591.28,1692,1707,0.302,0,0,0,0,
83,4066.15,4157.95,4062.05,3868.72,4410.26,4171.28,4564.62,4541.54,4291.79,3930.77,4236.41,4602.05,4409.74,4590.26,1690,1708,0.31,0,0,0,0,
84,4066.15,4150.26,4063.59,3850.77,4386.67,4157.44,4557.44,4536.41,4277.44,3924.1,4230.26,4596.41,4409.74,4584.62,1690,1707,0.317,0,0,0,0,
85,4066.67,4152.31,4067.18,3856.41,4387.18,4143.08,4551.79,4535.38,4277.95,3925.13,4230.77,4601.03,4412.31,4591.79,1690,1708,0.325,0,0,0,0,
86,4072.31,4160.51,4072.31,3865.64,4397.95,4150.26,4556.41,4537.95,4282.05,3927.69,4233.85,4608.21,4412.31,4600.51,1690,1709,0.333,0,0,0,0,
87,4078.97,4168.72,4075.9,3867.18,4409.74,4161.54,4559.49,4541.54,4281.54,3930.26,4233.85,4606.67,4414.36,4603.59,1690,1710,0.341,0,0,0,0,
88,4076.92,4161.54,4075.9,3866.15,4402.05,4156.92,4555.38,4536.41,4278.97,3927.69,4232.31,4601.54,4415.9,4601.03,1690,1710,0.349,0,0,0,0,
89,4067.18,4149.23,4074.87,3849.74,4377.44,4149.23,4551.28,4527.18,4273.85,3917.44,4228.72,4598.46,4409.23,4591.79,1690,1713,0.356,0,0,0,0,
90,4064.62,4152.82,4071.28,3848.21,4387.18,4149.74,4553.33,4531.28,4277.44,3922.05,4231.79,4602.05,4409.74,4592.31,1691,1712,0.365,0,0,0,0,
91,4073.33,4156.92,4067.18,3868.21,4405.13,4152.82,4555.9,4539.49,4281.54,3930.26,4235.9,4603.59,4414.36,4599.49,1690,1713,0.372,0,0,0,0,
