COUNTER,AF3,F7,F3, FC5, T7, P7, O1, O2,P8, T8, FC6, F4,F8, AF4,GYROX, GYROY, TIMESTAMP, FUNC_ID, FUNC_VALUE, MARKER, SYNC_SIGNAL,
24,4058.97,4180,4056.92,3862.05,4361.03,4150.26,4553.33,4536.92,4295.38,3922.56,4215.9,4592.31,4407.18,4597.44,1690,1708,0.093,0,0,0,0,
25,4062.05,4184.62,4061.03,3861.03,4370.77,4152.82,4555.38,4543.59,4297.44,3925.64,4226.15,4600.51,4416.41,4602.05,1690,1710,0.1,0,0,0,0,
26,4058.46,4183.08,4060.51,3858.46,4368.72,4155.9,4554.36,4541.03,4293.33,3925.13,4230.77,4597.44,4420.51,4599.49,1691,1709,0.108,0,0,0,0,
27,4061.03,4185.64,4060,3864.62,4364.1,4155.38,4561.54,4545.13,4296.41,3926.15,4229.23,4598.46,4419.49,4600,1690,1710,0.116,0,0,0,0,
28,4064.1,4186.15,4068.21,3864.1,4362.05,4152.82,4570.26,4554.87,4302.05,3927.18,4229.74,4602.56,4419.49,4613.33,1692,1710,0.124,0,0,0,0,
29,4061.03,4180.51,4075.38,3849.74,4365.64,4154.36,4569.23,4550.77,4298.97,3925.64,4230.77,4601.54,4421.03,4618.46,1690,1710,0.132,0,0,0,0,
30,4063.59,4184.1,4070.26,3849.23,4374.36,4157.95,4567.69,4544.1,4292.31,3925.64,4228.21,4601.03,4421.54,4611.79,1691,1711,0.139,0,0,0,0,
31,4067.18,4188.21,4066.15,3863.08,4375.38,4155.38,4567.18,4548.72,4292.31,3926.67,4229.23,4601.54,4419.49,4611.28,1691,1711,0.147,0,0,0,0,
32,4065.13,4188.21,4067.18,3866.15,4369.23,4156.92,4568.72,4555.9,4303.08,3927.18,4235.38,4603.08,4416.92,4612.82,1691,1711,0.155,0,0,0,0,
33,4060.51,4187.18,4063.59,3858.97,4361.54,4165.64,4567.69,4553.85,4308.21,3929.74,4231.28,4603.08,4413.33,4602.56,1690,1710,0.163,0,0,0,0,
34,4057.95,4184.62,4057.44,3861.03,4365.13,4163.59,4560,4544.1,4300,3926.67,4218.46,4592.82,4411.28,4595.9,1690,1711,0.171,0,0,0,0,
35,4061.03,4187.69,4060,3868.21,4376.92,4153.85,4554.36,4538.97,4294.87,3917.44,4215.9,4583.08,4412.82,4602.56,1691,1710,0.179,0,0,0,0,
36,4059.49,4185.64,4062.05,3855.9,4364.62,4153.85,4557.95,4537.44,4296.92,3913.33,4220.51,4585.64,4409.23,4601.54,1690,1711,0.186,0,0,0,0,
