COUNTER,AF3,F7,F3, FC5, T7, P7, O1, O2,P8, T8, FC6, F4,F8, AF4,GYROX, GYROY, TIMESTAMP, FUNC_ID, FUNC_VALUE, MARKER, SYNC_SIGNAL,
81,4057.44,4204.62,4073.85,3895.9,4447.18,4198.46,4586.67,4538.97,4309.23,3911.79,4243.08,4625.13,4367.69,4588.21,1676,1688,0.409,0,0,0,0,
82,4060,4214.87,4078.97,3906.15,4447.18,4188.72,4584.1,4536.41,4307.69,3907.69,4237.95,4631.79,4380.51,4586.15,1678,1689,0.411,0,0,0,0,
83,4049.23,4209.74,4074.87,3908.21,4440,4184.62,4574.36,4526.67,4308.21,3912.31,4233.85,4629.74,4372.31,4583.59,1678,1689,0.419,0,0,0,0,
84,4047.69,4200,4073.85,3898.97,4438.46,4196.41,4568.72,4521.03,4308.21,3917.44,4236.92,4628.72,4356.92,4583.59,1680,1691,0.426,0,0,0,0,
85,4051.28,4202.56,4080,3900,4444.1,4204.1,4572.82,4523.59,4300,3917.95,4238.46,4631.28,4362.05,4583.59,1682,1693,0.434,0,0,0,0,
86,4051.28,4206.15,4084.62,3904.62,4438.97,4192.31,4580.51,4530.77,4301.54,3914.36,4243.08,4635.9,4373.85,4584.1,1686,1695,0.442,0,0,0,0,
87,4051.79,4204.62,4084.1,3898.46,4430.26,4182.56,4584.62,4538.46,4315.38,3910.77,4249.74,4643.59,4370.26,4585.13,1689,1691,0.45,0,0,0,0,
88,4049.74,4202.05,4082.05,3894.87,4437.95,4192.82,4584.62,4541.03,4317.44,3910.77,4243.59,4645.13,4357.44,4583.08,1692,1688,0.458,0,0,0,0,
89,4045.64,4201.03,4078.46,3897.44,4446.15,4202.56,4584.1,4538.46,4314.87,3918.46,4235.9,4637.95,4354.36,4582.05,1695,1684,0.466,0,0,0,0,
90,4040.51,4198.97,4078.97,3894.87,4437.95,4200.51,4585.64,4539.49,4317.44,3925.13,4247.18,4636.41,4367.69,4585.64,1696,1682,0.473,0,0,0,0,
91,4033.85,4192.82,4078.46,3892.82,4432.82,4199.49,4587.18,4542.05,4317.44,3918.46,4247.69,4640,4373.33,4588.21,1700,1679,0.481,0,0,0,0,
92,4035.9,4189.23,4071.79,3892.82,4437.95,4202.05,4589.23,4540,4315.9,3915.9,4232.82,4642.56,4364.62,4584.1,1702,1679,0.489,0,0,0,0,
93,4043.59,4187.69,4068.21,3890.26,4435.38,4200.51,4587.69,4536.41,4315.38,3928.72,4232.31,4640,4364.1,4581.54,1705,1678,0.497,0,0,0,0,
94,4042.05,4183.08,4073.85,3891.28,4432.82,4197.95,4583.08,4543.59,4318.97,3930.26,4243.08,4635.9,4368.21,4583.59,1707,1679,0.505,0,0,0,0,
95,4038.97,4187.69,4076.41,3895.38,4438.46,4200.51,4587.69,4554.87,4326.67,3921.54,4247.69,4640,4364.62,4585.13,1710,1679,0.512,0,0,0,0,
96,4044.1,4201.54,4074.87,3896.92,4441.54,4202.56,4597.44,4549.23,4326.15,3924.62,4246.67,4642.05,4370.77,4587.69,1712,1679,0.52,0,0,0,0,
97,4046.15,4202.56,4075.9,3895.38,4442.05,4203.59,4594.36,4537.44,4320,3928.72,4244.1,4636.92,4372.82,4589.74,1712,1680,0.528,0,0,0,0,
98,4041.03,4192.31,4075.9,3895.9,4443.08,4200.51,4584.62,4535.38,4307.18,3913.33,4235.9,4629.23,4354.36,4579.49,1714,1679,0.537,0,0,0,0,
99,4037.44,4191.79,4076.92,3896.92,4442.05,4199.49,4585.13,4539.49,4296.41,3899.49,4227.18,4623.59,4350.26,4573.33,1713,1682,0.544,0,0,0,0,
100,4036.92,4189.74,4077.44,3894.87,4436.41,4198.97,4584.1,4534.87,4297.95,3905.13,4228.21,4621.54,4360.51,4575.38,1713,1681,0.552,0,0,0,0,
101,4035.38,4185.64,4074.36,3893.85,4430.26,4189.23,4572.82,4524.1,4296.41,3906.15,4231.28,4624.1,4353.85,4572.31,1712,1677,0.559,0,0,0,0,
102,4037.44,4192.31,4076.92,3896.92,4427.18,4188.21,4572.31,4525.64,4293.33,3894.87,4228.72,4628.21,4344.1,4574.36,1710,1670,0.567,0,0,0,0,
103,4042.05,4198.97,4081.54,3898.46,4430.26,4200.51,4582.56,4535.38,4302.56,3893.85,4227.18,4631.28,4347.18,4581.54,1707,1662,0.575,0,0,0,0,
104,4045.64,4201.03,4080,3897.44,4438.46,4196.41,4582.05,4532.82,4305.64,3907.18,4232.31,4634.87,4354.36,4584.1,1707,1653,0.583,0,0,0,0,
105,4043.59,4199.49,4076.92,3896.41,4440.51,4183.59,4574.36,4523.59,4297.44,3912.31,4236.92,4633.33,4355.9,4583.59,1703,1650,0.591,0,0,0,0,
106,4038.97,4192.31,4074.36,3893.85,4434.36,4186.67,4571.79,4521.03,4289.74,3901.54,4227.69,4624.1,4350.77,4580.51,1702,1653,0.598,0,0,0,0,
107,4035.38,4186.67,4070.77,3890.26,4426.67,4188.21,4571.79,4521.54,4285.64,3889.23,4215.9,4618.97,4341.03,4571.79,1699,1660,0.606,0,0,0,0,
108,4029.23,4191.28,4066.67,3893.85,4426.67,4181.03,4568.72,4517.44,4280.51,3887.69,4217.44,4617.44,4336.41,4565.64,1698,1670,0.614,0,0,0,0,
109,4025.13,4189.74,4060.51,3892.31,4430.26,4184.62,4567.69,4512.31,4283.08,3895.9,4227.18,4620.51,4347.18,4574.36,1697,1671,0.622,0,0,0,0,
110,4035.38,4183.08,4060.51,3882.05,4430.26,4189.74,4569.74,4515.9,4293.33,3908.72,4233.33,4627.69,4372.82,4588.72,1695,1671,0.63,0,0,0,0,
111,4046.67,4187.69,4067.18,3883.59,4429.23,4185.64,4570.26,4525.13,4297.44,3910.77,4234.87,4628.21,4378.97,4592.31,1696,1665,0.638,0,0,0,0,
112,4041.54,4189.23,4068.72,3888.72,4427.18,4184.1,4569.23,4532.82,4300.51,3901.54,4233.85,4617.95,4362.05,4584.1,1695,1662,0.646,0,0,0,0,
113,4035.38,4184.62,4068.21,3882.05,4427.18,4188.21,4569.74,4529.74,4307.18,3906.67,4230.26,4611.79,4357.95,4579.49,1696,1666,0.653,0,0,0,0,
114,4038.46,4184.62,4073.33,3876.41,4429.23,4190.77,4570.77,4527.18,4307.18,3918.46,4230.77,4621.03,4362.05,4583.08,1696,1673,0.661,0,0,0,0,
115,4037.95,4187.18,4075.9,3884.62,4427.69,4188.21,4572.82,4532.31,4298.46,3907.18,4233.33,4627.18,4356.41,4586.15,1699,1682,0.669,0,0,0,0,
116,4034.87,4188.21,4074.87,3893.85,4427.18,4192.31,4574.36,4532.82,4296.41,3893.85,4227.18,4621.54,4356.92,4583.59,1700,1687,0.677,0,0,0,0,
117,4037.95,4187.18,4073.33,3889.74,4432.82,4197.95,4573.85,4525.64,4297.44,3893.85,4216.41,4616.92,4360,4574.36,1703,1691,0.685,0,0,0,0,
118,4041.54,4184.62,4069.74,3881.54,4432.82,4191.79,4572.82,4520,4290.26,3885.64,4214.87,4613.85,4349.74,4569.74,1705,1691,0.692,0,0,0,0,
119,4040.51,4184.62,4066.15,3877.95,4424.1,4184.1,4570.77,4524.1,4286.67,3879.49,4216.41,4608.72,4342.56,4570.26,1706,1691,0.7,0,0,0,0,
120,4034.87,4186.15,4067.18,3879.49,4423.08,4185.13,4571.28,4535.38,4301.03,3900,4216.41,4612.82,4348.72,4573.85,1709,1689,0.708,0,0,0,0,
121,4027.18,4186.15,4070.26,3878.97,4424.62,4187.69,4574.87,4544.1,4321.54,3916.92,4223.08,4621.54,4351.28,4575.9,1710,1688,0.716,0,0,0,0,
122,4029.23,4185.64,4071.79,3877.95,4420.51,4185.64,4572.82,4541.54,4317.44,3901.54,4230.77,4621.54,4343.59,4572.31,1713,1684,0.724,0,0,0,0,
123,4040.51,4185.64,4073.85,3885.64,4422.05,4183.08,4572.31,4542.56,4305.64,3893.85,4227.69,4617.95,4345.64,4572.31,1713,1681,0.731,0,0,0,0,
124,4046.15,4186.67,4076.41,3891.28,4429.23,4192.31,4577.95,4551.79,4315.38,3910.26,4228.21,4620.51,4358.46,4574.36,1716,1679,0.74,0,0,0,0,
125,4043.08,4188.21,4077.95,3889.74,4430.77,4200.51,4578.46,4541.03,4317.44,3914.87,4229.74,4623.08,4358.97,4573.33,1716,1678,0.747,0,0,0,0,
126,4041.54,4189.23,4078.46,3889.74,4427.69,4191.79,4570.77,4523.59,4299.49,3907.69,4224.1,4623.59,4355.38,4577.44,1718,1679,0.755,0,0,0,0,
127,4045.13,4190.26,4079.49,3893.85,4426.67,4184.1,4568.72,4526.67,4295.9,3908.72,4223.59,4624.1,4360,4584.62,1718,1680,0.763,0,0,0,0,
128,4052.31,4195.38,4083.59,3893.85,4426.67,4193.33,4576.92,4536.41,4305.13,3909.23,4231.79,4627.69,4362.05,4585.13,1720,1680,0.771,0,0,0,0,
0,4056.92,4203.08,4088.21,3896.41,4429.23,4198.97,4584.1,4537.44,4311.79,3912.31,4236.41,4634.36,4363.08,4588.72,1720,1680,0.778,0,0,0,0,
1,4050.77,4199.49,4084.62,3894.87,4434.87,4197.95,4582.56,4533.85,4309.74,3919.49,4232.82,4634.87,4366.15,4592.31,1720,1681,0.786,0,0,0,0,
2,4044.1,4186.67,4075.38,3886.15,4436.92,4201.54,4578.46,4532.82,4300,3913.85,4228.21,4627.18,4363.59,4586.67,1722,1680,0.794,0,0,0,0,
3,4049.74,4189.74,4080,3890.26,4432.31,4200.51,4584.1,4536.41,4303.08,3913.33,4234.87,4629.74,4368.21,4591.28,1721,1684,0.802,0,0,0,0,
4,4055.38,4202.05,4093.85,3897.95,4433.85,4197.44,4589.23,4543.59,4315.9,3925.64,4247.69,4640,4380,4604.1,1723,1684,0.81,0,0,0,0,
5,4049.74,4202.05,4088.21,3892.31,4442.05,4200,4586.15,4551.28,4316.41,3929.74,4245.64,4638.46,4377.95,4603.59,1724,1681,0.817,0,0,0,0,
6,4051.79,4196.92,4076.41,3888.72,4445.13,4200,4587.18,4554.36,4314.87,3931.28,4239.49,4633.33,4374.36,4600,1725,1677,0.825,0,0,0,0,
7,4061.54,4202.56,4084.1,3897.44,4440,4196.92,4586.67,4550.77,4325.64,3942.05,4250.77,4641.03,4388.72,4610.26,1726,1672,0.833,0,0,0,0,
