COUNTER,AF3,F7,F3, FC5, T7, P7, O1, O2,P8, T8, FC6, F4,F8, AF4,GYROX, GYROY, TIMESTAMP, FUNC_ID, FUNC_VALUE, MARKER, SYNC_SIGNAL,
36,4075.9,4168.72,4091.28,3869.74,4378.46,4184.1,4585.64,4544.1,4296.92,3925.64,4244.62,4621.54,4362.05,4647.69,1697,1706,0.085,0,0,0,0,
37,4075.38,4168.21,4084.62,3873.85,4383.59,4183.59,4574.87,4531.28,4279.49,3925.13,4243.08,4615.38,4353.33,4632.31,1697,1705,0.093,0,0,0,0,
38,4077.44,4172.31,4081.54,3878.46,4390.26,4184.1,4573.85,4533.85,4282.05,3924.62,4253.33,4616.92,4357.95,4632.82,1696,1707,0.1,0,0,0,0,
39,4075.38,4173.85,4087.18,3878.46,4387.18,4183.08,4580,4540,4291.79,3927.69,4250.26,4617.95,4359.49,4642.05,1697,1707,0.108,0,0,0,0,
40,4061.03,4168.21,4083.08,3868.72,4381.54,4182.05,4574.87,4528.21,4280.51,3917.44,4236.92,4606.15,4347.18,4626.15,1695,1708,0.116,0,0,0,0,
41,4056.92,4168.21,4072.82,3861.03,4382.05,4183.08,4568.72,4524.1,4272.82,3911.28,4233.33,4596.92,4348.21,4611.28,1696,1709,0.124,0,0,0,0,
42,4070.77,4174.36,4073.85,3868.21,4384.62,4185.64,4571.79,4534.87,4281.54,3925.13,4234.87,4601.54,4357.44,4621.54,1696,1710,0.132,0,0,0,0,
43,4075.9,4174.87,4077.95,3878.46,4384.1,4187.69,4577.44,4540.51,4290.77,3931.79,4238.46,4611.79,4347.69,4630.77,1697,1710,0.14,0,0,0,0,
44,4075.9,4177.95,4080,3878.97,4386.67,4187.18,4583.08,4543.59,4298.46,3926.15,4249.74,4617.95,4343.59,4630.77,1696,1710,0.147,0,0,0,0,
45,4078.46,4182.05,4083.08,3878.97,4391.79,4185.13,4584.62,4547.69,4301.03,3926.15,4252.31,4616.92,4361.03,4633.85,1697,1710,0.155,0,0,0,0,
46,4067.69,4174.87,4081.03,3877.44,4392.31,4185.64,4578.97,4538.46,4293.33,3928.72,4237.44,4608.21,4365.64,4633.85,1696,1708,0.163,0,0,0,0,
47,4057.95,4167.69,4076.41,3874.87,4387.69,4187.18,4580.51,4535.38,4291.79,3928.72,4236.41,4606.67,4355.38,4631.28,1697,1707,0.171,0,0,0,0,
48,4066.15,4169.23,4077.95,3875.38,4382.05,4185.64,4586.67,4550.26,4302.56,3931.28,4249.74,4617.44,4354.36,4631.28,1697,1705,0.179,0,0,0,0,
49,4066.15,4170.26,4081.03,3876.41,4378.97,4185.64,4584.62,4548.21,4300,3928.21,4249.74,4618.97,4354.87,4630.26,1697,1707,0.186,0,0,0,0,
